Reference, Quantity, Value, Footprint, Datasheet, Bezug, Typ
J28 ,1,"GND_CAN opt an J33","mylib:Lötauge-Junction-2x1.5","~","nichts benötigt","Lötauge"
J3 ,1,"PFS 2x4","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","PFS 2x4 RM 2,54mm"
J33 ,1,"opt. GND_XXX","mylib:Lötauge-Junction-2x1.5","~","nichts benötigt","Lötauge"
J37 ,1,"Lötauge","mylib:Lötauge-Junction-2x1.5","~","nichts benötigt","Lötauge"
J4 ,1,"01x08_fem","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","https://www.reichelt.de/buchsenleiste-2-54mm-1x8-gerade-bkl-10120949-p266674.html?&trstct=pol_4&nbc=1","Conn_01x08_Female"
J40 ,1,"Extention","Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical","~","https://www.mouser.de/ProductDetail/Samtec/ZW-12-14-F-D-980-118?qs=%2Fha2pyFaduhlYuYg6YaAaAcMwJtESH4fCl8JriUKwzHt8L%252BXXamJdnHdjZ7pdPR6","Extention Connector"
J41 J42 J51 J47 J48 J46 J29 J30 J31 J53 J54 J56 J57 J59 J55 ,15,"Lötauge","mylib:Lötauge-Junction","~","nichts benötigt","Lötauge"
J43 J66 ,2,"Flachstecker","mylib:Lötauge-Junction-2x2-1.4","~","https://www.reichelt.de/flachstecker-fuer-printmontage-breite-6-35mm-vt-fs-pw-6-35-p231355.html?&trstct=pol_4&nbc=1","VT FS-PW-6,35"
J44 J45 J27 J58 J60 J65 ,6,"Lötauge","mylib:Lötauge-Junction-2x2-1.4","~","nichts benötigt","Lötauge"
J49 J50 ,2,"01x15 Male zu OP","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~","","Conn_01x05_Male"
J5 J15 ,2,"01x04_fem","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","https://www.reichelt.de/buchsenleiste-2-54mm-1x4-gerade-bkl-10120946-p266671.html?&trstct=pol_1&nbc=1","Conn_01x04"
J52 J35 J32 J39 J38 ,5,"Lötauge","mylib:Lötauge-Junction-3.5x2.5-1.6","~","nichts benötigt","Lötauge"
J6 J7 ,2,"DIN-5","mylib:DIN-5-180","Werner Elektronik","https://www.ebay.de/itm/132535527872","DIN-5"
J62 J61 J64 J63 ,4,"Lötauge","mylib:Lötauge-Junction-3.5x2.0-1.6","~","nichts benötigt","Lötauge"
J8 ,1,"02x02_fem","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~","https://www.reichelt.de/buchsenleiste-2-54mm-1x2-gerade-bkl-10120944-p266669.html?&trstct=vrt_pdn&nbc=1","Conn_02x02_Female"
J9 ,1,"Ub 0V PE","mylib:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","F:\Daten\ProgrammData\KiCad-Projects\datasheet\PhoenixContact_1715857_02_MKDS-1-5-3-5-08-BD-1-3_FAM.pdf","https://www.reichelt.de/anschlussklemme-3-pol-rm-5-08-mm-90--lakl-1-5-3-5-08-p169872.html?search=1729131","Ub 0V PE"
JP1 ,1,"WP_","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","https://www.reichelt.de/stiftleiste-3-pol-gerade-rm-2-54-mpe-089-1-003-p225881.html?&trstct=vrt_pdn&nbc=1","EEPROM WP_"
L1 ,1,"PIS2812-271M-04","mylib:L_7.3x7.3_H3.5_handsoldered","https://www.reichelt.de/index.html?ACTION=7&LA=3&OPEN=0&INDEX=0&FILENAME=B400%2FPIS2812.pdf","https://www.reichelt.de/index.html?ACTION=446&LA=0&nbc=1&q=pis2812-271m-04","270µH"
L2 ,1,"47µH","Inductors_SMD:L_1210","","https://www.reichelt.de/chip-induktivitaet-1210f-47-h-l-1210f-47--p138578.html?&trstct=pol_3&nbc=1",""
